Fri, 23 Oct 15 10:31:51 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to 140dev
Tue, 03 Nov 15 15:50:27 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488095091552256' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488095091552256, tweet_text = "Its time to save along with shopping @ShopClues #ZyadaBachao\n https://t.co/0LkWQYq7Fy", created_at = "2015-11-03 15:50:26", geo_lat = 0, geo_long = 0, user_id = 2799386636, screen_name = "sapt25rish", name = "saptarshi das", profile_image_url = "http://pbs.twimg.com/profile_images/617648758075949056/vjTfCooA_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:28 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488100145799168' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488100145799168, tweet_text = "#ZyadaBachao Is fantastic,just get best deals on every products @ShopClues https://t.co/zPNp1fGkge", created_at = "2015-11-03 15:50:27", geo_lat = 0, geo_long = 0, user_id = 2215407589, screen_name = "SnehalataJ", name = "snehalata Jain", profile_image_url = "http://pbs.twimg.com/profile_images/660731227989794816/L84NI7Q8_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:38 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488140805390336' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488140805390336, tweet_text = "Deals you can\'t afford to miss! Check out @Shopclues #ZyadaBachao sale https://t.co/g6aAwvZLyZ &amp; start saving more now!", created_at = "2015-11-03 15:50:37", geo_lat = 0, geo_long = 0, user_id = 2462995393, screen_name = "NykhilChopra", name = "Nikhil", profile_image_url = "http://pbs.twimg.com/profile_images/629623494595096576/jCmym6Hq_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:42 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488159977533440' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488159977533440, tweet_text = "Get shopping and start saving. Shopclues has some real cool deal guys #ZyadaBachao https://t.co/m0KlRbfv1I @ShopClues", created_at = "2015-11-03 15:50:41", geo_lat = 0, geo_long = 0, user_id = 1833882092, screen_name = "candy_floss13", name = "(: Muskan :)", profile_image_url = "http://pbs.twimg.com/profile_images/636507554185478144/dCmgPiOr_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:55 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488213652054016' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488213652054016, tweet_text = "#ZyadaBachao sale is on @ShopClues Shop more and save more! https://t.co/zPNp1fGkge", created_at = "2015-11-03 15:50:54", geo_lat = 0, geo_long = 0, user_id = 2215407589, screen_name = "SnehalataJ", name = "snehalata Jain", profile_image_url = "http://pbs.twimg.com/profile_images/660731227989794816/L84NI7Q8_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:02 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488244832337921' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488244832337921, tweet_text = "RT @reebokindia: Half an hour to go. Keep tweeting! :) #GetPumped", created_at = "2015-11-03 15:51:02", geo_lat = 0, geo_long = 0, user_id = 169843033, screen_name = "shrutikajain", name = "shrutika jain", profile_image_url = "http://pbs.twimg.com/profile_images/647972810233483264/Y4WY8ZAP_normal.jpg", is_rt = 1
Tue, 03 Nov 15 15:51:12 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488286200823808' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488286200823808, tweet_text = "Get Best deals, discounts and offers like never before,\nNo wonder @ShopClues #ZyadaBachao https://t.co/wznJ4NosET", created_at = "2015-11-03 15:51:11", geo_lat = 0, geo_long = 0, user_id = 394146145, screen_name = "shubh00700", name = "Shubham gupta", profile_image_url = "http://pbs.twimg.com/profile_images/627069562840682500/ygwj-vSU_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:34 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488378441891840' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488378441891840, tweet_text = "You can\'t afford to miss such  jaw dropping offers only here\nAb #ZyadaBachao with @ShopClues\nhttps://t.co/9r14Q0kfKQ", created_at = "2015-11-03 15:51:33", geo_lat = 0, geo_long = 0, user_id = 165256627, screen_name = "Lovely_Sathish", name = "Ugly Indian™ ツ", profile_image_url = "http://pbs.twimg.com/profile_images/640143426625781761/ZBpUnyLg_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:34 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488378492375041' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488378492375041, tweet_text = "Well @Shopclues is offering jaws dropping deals. Grab them before they go out out of stock. https://t.co/KxCgRi5od1 #ZyadaBachao", created_at = "2015-11-03 15:51:33", geo_lat = 0, geo_long = 0, user_id = 2215407589, screen_name = "SnehalataJ", name = "snehalata Jain", profile_image_url = "http://pbs.twimg.com/profile_images/660731227989794816/L84NI7Q8_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:37 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488391117144065' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488391117144065, tweet_text = "Get the best deals on every range of products!\nHead to: https://t.co/BTmQtApPDM #ZyadaBachao @ShopClues", created_at = "2015-11-03 15:51:36", geo_lat = 0, geo_long = 0, user_id = 417040590, screen_name = "TazyeenKhan", name = "☆←Miss Magical→☆", profile_image_url = "http://pbs.twimg.com/profile_images/661164077712932864/7_soihxs_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:37 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488391926607872' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488391926607872, tweet_text = "This Diwali Ab #ZyadaBachao @ShopClues ke sath Check here offers that you can\'t  miss: https://t.co/SC6bBTldG5.…", created_at = "2015-11-03 15:51:37", geo_lat = 0, geo_long = 0, user_id = 1515398305, screen_name = "shailendra_foji", name = "Shailendra S Rathore", profile_image_url = "http://pbs.twimg.com/profile_images/655033405315416065/XNHd2UgJ_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:39 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488398792683520' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488398792683520, tweet_text = "Enjoy all your diwali shopping at jaw dropping prices only on #ZyadaBachao @ShopClues https://t.co/YL10n6UK9R", created_at = "2015-11-03 15:51:38", geo_lat = 0, geo_long = 0, user_id = 2844025009, screen_name = "me_ritabrata", name = "Its Me", profile_image_url = "http://pbs.twimg.com/profile_images/636480412907274240/IIL7kuxN_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:39 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488399769927680' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488399769927680, tweet_text = "Pretty sure With shopclues one can save big on their shopping bills #ZyadaBachao https://t.co/io9KPpe2xI", created_at = "2015-11-03 15:51:39", geo_lat = 0, geo_long = 0, user_id = 383179849, screen_name = "sujaykoner", name = "Sujay Koner", profile_image_url = "http://pbs.twimg.com/profile_images/659925252122656768/H689NE_A_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:50 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488444930060288' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488444930060288, tweet_text = "With more discounts &amp; offer my shopping cart is going bigger. https://t.co/QpOE8uLOfq #ZyadaBachao with @ShopClues", created_at = "2015-11-03 15:51:49", geo_lat = 0, geo_long = 0, user_id = 2462995393, screen_name = "NykhilChopra", name = "Nikhil", profile_image_url = "http://pbs.twimg.com/profile_images/629623494595096576/jCmym6Hq_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:51:54 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488462197985281' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488462197985281, tweet_text = "I am ready with gifts for my Friends ad Family! Shopped so much for my home too! @ShopClues #ZyadaBachao https://t.co/IkfHyBWyBW … …", created_at = "2015-11-03 15:51:53", geo_lat = 0, geo_long = 0, user_id = 63966662, screen_name = "cherrykaur", name = "Cherry", profile_image_url = "http://pbs.twimg.com/profile_images/641070239493435393/ePsOb3qn_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:52:04 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488505114095616' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488505114095616, tweet_text = "Finally The Big Day has Come where you Can save More n more with @ShopClues #ZyadaBachao https://t.co/PaGs4EXv8z", created_at = "2015-11-03 15:52:04", geo_lat = 0, geo_long = 0, user_id = 1440828674, screen_name = "surabhi_diva", name = "Surabhi Aj.", profile_image_url = "http://pbs.twimg.com/profile_images/640210283923832832/E57uj6q6_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:52:04 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488505130868736' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488505130868736, tweet_text = "Hello Iam loving this and surely you will love it too Chk out #ZyadaBachao at @ShopClues https://t.co/LnJZGtci8l", created_at = "2015-11-03 15:52:04", geo_lat = 0, geo_long = 0, user_id = 49255216, screen_name = "shaleensomani", name = "Shaleen Somani", profile_image_url = "http://pbs.twimg.com/profile_images/640948613925896192/D8DICkZm_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:52:04 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488505139236866' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488505139236866, tweet_text = "Lets make everyone happy with more shopping n more savings #ZyadaBachao @ShopClues https://t.co/LnJZGtci8l https://t.co/K6Al9KboTz", created_at = "2015-11-03 15:52:04", geo_lat = 0, geo_long = 0, user_id = 49255216, screen_name = "shaleensomani", name = "Shaleen Somani", profile_image_url = "http://pbs.twimg.com/profile_images/640948613925896192/D8DICkZm_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:52:07 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488518011551744' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488518011551744, tweet_text = "RT @reebokindia: Last question coming up. Hurry up people!\nKeep tweeting to increase your chances of winning! #GetPumped", created_at = "2015-11-03 15:52:07", geo_lat = 0, geo_long = 0, user_id = 169843033, screen_name = "shrutikajain", name = "shrutika jain", profile_image_url = "http://pbs.twimg.com/profile_images/647972810233483264/Y4WY8ZAP_normal.jpg", is_rt = 1
Tue, 03 Nov 15 15:52:10 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488530498019328' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488530498019328, tweet_text = "Check out the superb diwali offers which says #ZyadaBachao only on\n@ShopClues \n https://t.co/hiWFUe2", created_at = "2015-11-03 15:52:10", geo_lat = 0, geo_long = 0, user_id = 491003240, screen_name = "hidden_keys", name = "May B I\'m In Love!", profile_image_url = "http://pbs.twimg.com/profile_images/644416780442595328/eBIOR85L_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:52:34 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488631207497728' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488631207497728, tweet_text = "Grab The Best Deals !! Many offers Waiting up For You Check @ShopClues Now #ZyadaBachao https://t.co/h2WERuHXsZ", created_at = "2015-11-03 15:52:34", geo_lat = 0, geo_long = 0, user_id = 285549010, screen_name = "sandyrockyd", name = "Santhosh R", profile_image_url = "http://pbs.twimg.com/profile_images/654642552000221184/mnLOuWkl_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:53:29 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488858270420993' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488858270420993, tweet_text = "The Deals which make you go crazy...only on\n@ShopClues #ZyadaBachao https://t.co/OOa4AIPpvR", created_at = "2015-11-03 15:53:28", geo_lat = 0, geo_long = 0, user_id = 2822625526, screen_name = "ToMainuKi", name = "To Mainu Ki o(︶︿︶)o", profile_image_url = "http://pbs.twimg.com/profile_images/649548564142534656/BCAvBWYT_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:53:47 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488936636833793' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488936636833793, tweet_text = "Click the beautiful pics from Nikon Coolpix Camera @ 3950Rs\n#ZyadaBachao on\n@ShopClues \nhttps://t.co/7x98tM2El3", created_at = "2015-11-03 15:53:47", geo_lat = 0, geo_long = 0, user_id = 65357007, screen_name = "ankitsalgiya", name = "ankit", profile_image_url = "http://pbs.twimg.com/profile_images/660107994646974465/CLHVkxfp_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:53:49 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488944526336000' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488944526336000, tweet_text = "Deals you can\'t afford to miss! Check out @Shopclues #ZyadaBachao sale https://t.co/v8YmLl0YBK &amp; start saving more now!", created_at = "2015-11-03 15:53:48", geo_lat = 0, geo_long = 0, user_id = 2462995393, screen_name = "NykhilChopra", name = "Nikhil", profile_image_url = "http://pbs.twimg.com/profile_images/629623494595096576/jCmym6Hq_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:53:56 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488971986268160' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488971986268160, tweet_text = "Many Cashback Offers That Will Sure Delight You #ZyadaBachao Sale From @ShopClues https://t.co/h2WERuHXsZ", created_at = "2015-11-03 15:53:55", geo_lat = 0, geo_long = 0, user_id = 285549010, screen_name = "sandyrockyd", name = "Santhosh R", profile_image_url = "http://pbs.twimg.com/profile_images/654642552000221184/mnLOuWkl_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:53:57 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488977153810432' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488977153810432, tweet_text = "Many Cashback Offers That Will Sure Delight You #ZyadaBachao Sale From @ShopClues https://t.co/AlHm0xxleo", created_at = "2015-11-03 15:53:56", geo_lat = 0, geo_long = 0, user_id = 285549010, screen_name = "sandyrockyd", name = "Santhosh R", profile_image_url = "http://pbs.twimg.com/profile_images/654642552000221184/mnLOuWkl_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:53:57 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488977153810432' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488977153810432, tweet_text = "Many Cashback Offers That Will Sure Delight You #ZyadaBachao Sale From @ShopClues https://t.co/AlHm0xxleo", created_at = "2015-11-03 15:53:56", geo_lat = 0, geo_long = 0, user_id = 285549010, screen_name = "sandyrockyd", name = "Santhosh R", profile_image_url = "http://pbs.twimg.com/profile_images/654642552000221184/mnLOuWkl_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:54:10 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489033273413632' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489033273413632, tweet_text = "Guys go to  @ShopClues  and get the best deals at the best e-commerce site. head to https://t.co/NzPtz6o0kz #ZyadaBachao", created_at = "2015-11-03 15:54:10", geo_lat = 0, geo_long = 0, user_id = 147175840, screen_name = "Manavparekh", name = "Stimulated Engineer", profile_image_url = "http://pbs.twimg.com/profile_images/564669319619952641/ko0i-oqv_normal.png", is_rt = 0
Tue, 03 Nov 15 15:54:10 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489032052903936' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489032052903936, tweet_text = "RT @Neha_Pandey_ind: #ZyadaBachao by @ShopClues \nIt\'s all about saving. Check it out!! @Lovely_Sathish \n\nhttps://t.co/a7w44DO96Q", created_at = "2015-11-03 15:54:09", geo_lat = 0, geo_long = 0, user_id = 165256627, screen_name = "Lovely_Sathish", name = "Ugly Indian™ ツ", profile_image_url = "http://pbs.twimg.com/profile_images/640143426625781761/ZBpUnyLg_normal.jpg", is_rt = 1
Tue, 03 Nov 15 15:54:10 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489032052903936' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489032052903936, tweet_text = "RT @Neha_Pandey_ind: #ZyadaBachao by @ShopClues \nIt\'s all about saving. Check it out!! @Lovely_Sathish \n\nhttps://t.co/a7w44DO96Q", created_at = "2015-11-03 15:54:09", geo_lat = 0, geo_long = 0, user_id = 165256627, screen_name = "Lovely_Sathish", name = "Ugly Indian™ ツ", profile_image_url = "http://pbs.twimg.com/profile_images/640143426625781761/ZBpUnyLg_normal.jpg", is_rt = 1
Tue, 03 Nov 15 15:54:10 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489032967413760' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489032967413760, tweet_text = "Fruit juicer at 169! Now eat juices and stay healthy while you #ZyadaBachao @ShopClues https://t.co/03mPoz6VGx …", created_at = "2015-11-03 15:54:09", geo_lat = 0, geo_long = 0, user_id = 2352135794, screen_name = "DipanG118", name = "Dipanwita Goswami", profile_image_url = "http://pbs.twimg.com/profile_images/647655212912504832/T6nKiwP6_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:54:13 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489047039115264' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489047039115264, tweet_text = "@Leg_Peace @ShopClues I agree! Best offers I have seen this season! https://t.co/cFKIWlyqy8 #ZyadaBachao", created_at = "2015-11-03 15:54:13", geo_lat = 0, geo_long = 0, user_id = 119670279, screen_name = "RawAsh93", name = "Ashu", profile_image_url = "http://pbs.twimg.com/profile_images/632396552577814528/ST7D8TGH_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:54:13 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489047039115264' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489047039115264, tweet_text = "@Leg_Peace @ShopClues I agree! Best offers I have seen this season! https://t.co/cFKIWlyqy8 #ZyadaBachao", created_at = "2015-11-03 15:54:13", geo_lat = 0, geo_long = 0, user_id = 119670279, screen_name = "RawAsh93", name = "Ashu", profile_image_url = "http://pbs.twimg.com/profile_images/632396552577814528/ST7D8TGH_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:54:16 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489059093569537' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489059093569537, tweet_text = "We can\'t get such offers anywhere else. Thanks to @Shopclues for #ZyadaBachao sale. https://t.co/QpOE8uLOfq", created_at = "2015-11-03 15:54:16", geo_lat = 0, geo_long = 0, user_id = 2462995393, screen_name = "NykhilChopra", name = "Nikhil", profile_image_url = "http://pbs.twimg.com/profile_images/629623494595096576/jCmym6Hq_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:54:16 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489059093569537' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489059093569537, tweet_text = "We can\'t get such offers anywhere else. Thanks to @Shopclues for #ZyadaBachao sale. https://t.co/QpOE8uLOfq", created_at = "2015-11-03 15:54:16", geo_lat = 0, geo_long = 0, user_id = 2462995393, screen_name = "NykhilChopra", name = "Nikhil", profile_image_url = "http://pbs.twimg.com/profile_images/629623494595096576/jCmym6Hq_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:54:18 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489064470781952' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489064470781952, tweet_text = "We can\'t get such offers anywhere else. Thanks to @Shopclues for #ZyadaBachao sale. https://t.co/UeF3I6ZFnZ", created_at = "2015-11-03 15:54:17", geo_lat = 0, geo_long = 0, user_id = 2462995393, screen_name = "NykhilChopra", name = "Nikhil", profile_image_url = "http://pbs.twimg.com/profile_images/629623494595096576/jCmym6Hq_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:54:21 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661489076948733952' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661489076948733952, tweet_text = "RT \"@Neha_Pandey_ind: #ZyadaBachao by @ShopClues \nIt\'s all about saving. Check it out!! @Lovely_Sathish \n\nhttps://t.co/9r14Q0kfKQ\"", created_at = "2015-11-03 15:54:20", geo_lat = 0, geo_long = 0, user_id = 165256627, screen_name = "Lovely_Sathish", name = "Ugly Indian™ ツ", profile_image_url = "http://pbs.twimg.com/profile_images/640143426625781761/ZBpUnyLg_normal.jpg", is_rt = 0
